"","Title","Genre","Revenue (Millions)","Rating"
"175","Tropic Thunder","Action",110.42,7
"176","The Conjuring 2","Horror",102.46,7.4
"177","Ant-Man","Action",180.19,7.3
"178","Bridget Jones's Baby","Comedy",24.09,6.7
"179","The VVitch: A New-England Folktale","Horror",25.14,6.8
"180","Cinderella","Other",201.15,7
"181","Realive","Sci-Fi",NA,5.9
"182","Forushande","Other",3.4,8
"183","Love","Other",NA,6
"184","Billy Lynn's Long Halftime Walk","Other",1.72,6.3
"185","Crimson Peak","Other",31.06,6.6
"186","Drive","Crime",35.05,7.8
"187","Trainwreck","Comedy",110.01,6.3
"188","The Light Between Oceans","Other",12.53,7.2
"189","Below Her Mouth","Other",NA,5.6
"190","Spotlight","Crime",44.99,8.1
"191","Morgan","Horror",3.91,5.8
"192","Warrior","Action",13.65,8.2
"193","Captain America: The First Avenger","Action",176.64,6.9
"194","Hacker","Crime",NA,6.3
"195","Into the Wild","Adventure",18.35,8.1
"196","The Imitation Game","Other",91.12,8.1
"197","Central Intelligence","Action",127.38,6.3
"198","Edge of Tomorrow","Action",100.19,7.9
"199","A Cure for Wellness","Other",8.1,6.5
"200","Snowden","Other",21.48,7.3
"201","Iron Man","Action",318.3,7.9
"202","Allegiant","Action",66,5.7
"203","X: First Class","Action",146.41,7.8
"204","Raw (II)","Other",0.51,7.5
"205","Paterson","Comedy",2.14,7.5
"206","Bridesmaids","Comedy",169.08,6.8
"207","The Girl with All the Gifts","Other",NA,6.7
"208","San Andreas","Action",155.18,6.1
"209","Spring Breakers","Other",14.12,5.3
"210","Transformers","Action",318.76,7.1
"211","Old Boy","Action",NA,5.8
"212","Thor: The Dark World","Action",206.36,7
"213","Gods of Egypt","Action",31.14,5.5
"214","Captain America: The Winter Soldier","Action",259.75,7.8
"215","Monster Trucks","Action",33.04,5.7
"216","A Dark Song","Other",NA,6.1
"217","Kick-Ass","Action",48.04,7.7
"218","Hardcore Henry","Action",9.24,6.7
"219","Cars","Animation",244.05,7.1
"220","It Follows","Horror",14.67,6.9
"221","The Girl with the Dragon Tattoo","Crime",102.52,7.8
"222","We're the Millers","Comedy",150.37,7
"223","American Honey","Other",0.66,7
"224","The Lobster","Comedy",8.7,7.1
"225","Predators","Action",52,6.4
"226","Maleficent","Action",241.41,7
"227","Rupture","Horror",NA,4.8
"228","Pan's Labyrinth","Other",37.62,8.2
"229","A Kind of Murder","Crime",0,5.2
"230","Apocalypto","Action",50.86,7.8
"231","Mission: Impossible - Rogue Nation","Action",195,7.4
"232","The Huntsman: Winter's War","Action",47.95,6.1
"233","The Perks of Being a Wallflower","Other",17.74,8
"234","Jackie","Other",13.96,6.8
"235","The Disappointments Room","Other",2.41,3.9
"236","The Grand Budapest Hotel","Adventure",59.07,8.1
"237","The Host","Action",26.62,5.9
"238","Fury","Action",85.71,7.6
"239","Inside Out","Animation",356.45,8.2
"240","Rock Dog","Animation",9.4,5.8
"241","Terminator Genisys","Action",89.73,6.5
"242","Percy Jackson & the Olympians: The Lightning Thief","Adventure",88.76,5.9
"243","Les Misérables","Other",148.78,7.6
"244","Children of Men","Other",35.29,7.9
"245","20th Century Women","Comedy",5.66,7.4
"246","Spy","Action",110.82,7.1
"247","The Intouchables","Other",13.18,8.6
"248","Bonjour Anne","Comedy",0.32,4.9
"249","Kynodontas","Other",0.11,7.3
"250","Straight Outta Compton","Other",161.03,7.9
"251","The Amazing Spider-Man 2","Action",202.85,6.7
"252","The Conjuring","Horror",137.39,7.5
"253","The Hangover","Comedy",277.31,7.8
"254","Battleship","Action",65.17,5.8
"255","Rise of the Planet of the Apes","Action",176.74,7.6
"256","Lights Out","Horror",67.24,6.4
"257","Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Other",2.27,7.1
"258","Birdman or (The Unexpected Virtue of Ignorance)","Comedy",42.34,7.8
"259","Black Swan","Other",106.95,8
"260","Dear White People","Comedy",4.4,6.2
